node,graph_name,node_type,place_id,label,category,rating,total_user_ratings,formatted_address,taluk,micro_region
place::ChIJWdA66vGHBjsRhYoqWoO-3X0,place_network,place,ChIJWdA66vGHBjsRhYoqWoO-3X0,Mekkarai paddy field,tourist_attraction,4.8,120,"364G+CGM, Mekkarai Dam Rd, Achampudur, Mekkarai, Tamil Nadu 627807, India",Shenkottai,Shenkottai
place::ChIJAzU2LrmXBjsRtKAvjEwKyQM,place_network,place,ChIJAzU2LrmXBjsRtKAvjEwKyQM,திருவள்ளுவர் பூங்கா Thiruvalluvar Park,park,4.1,117,"5GHP+566, Gomathiyapuram, Sankarankoil, Tamil Nadu 627756, India",Sankarankovil,Sankarankovil
place::ChIJWbtqLwArBDsRGyMHNLc54jA,place_network,place,ChIJWbtqLwArBDsRGyMHNLc54jA,Main falls Arch,tourist_attraction,4.6,116,"1A, Five Falls Main Rd, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJTx41qRWHBjsRhJ24CoYHETI,place_network,place,ChIJTx41qRWHBjsRhJ24CoYHETI,Mekkarai,tourist_attraction,4.6,109,"365H+925, Mekkarai Dam Rd, Achampudur, Tamil Nadu 627807, India",Shenkottai,Shenkottai
place::ChIJ72IPMsYpBDsRfKh1L8TI4cc,place_network,place,ChIJ72IPMsYpBDsRfKh1L8TI4cc,Vaikalpaalam bridge,bridge,4.3,95,"tenkasi vaikalpaalam, Melapuliyur, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJMRHgkG94BjsRt79b3yhE0qA,place_network,place,ChIJMRHgkG94BjsRt79b3yhE0qA,Kallada Stream Ottakal,park,4.2,88,"X2CV+XHP, Ottakal, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJM0QzRSjWBTsRnN8-I46qXuE,place_network,place,ChIJM0QzRSjWBTsRnN8-I46qXuE,Kallada Dam,tourist_attraction,4.4,87,"X358+C97, SH 2, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJB9v7CsUpBDsR9m63ZDC_Z0Q,place_network,place,ChIJB9v7CsUpBDsR9m63ZDC_Z0Q,Vembadi Mosque,mosque,4.6,86,"X849+GQ6, 186/22K, SKP St, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJVaySRBQqBDsRTiMS9vg2e2E,place_network,place,ChIJVaySRBQqBDsRTiMS9vg2e2E,"Courtallam Tourism ,குற்றாலம் சுற்றுலா",tourist_information_center,4.2,85,"19/2 ,MG Resorts Campus, Five Falls Bypass Road Ilanji Courtallam, Tenkasi, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJzenf9bgjBDsRKu4PTt-7chk,place_network,place,ChIJzenf9bgjBDsRKu4PTt-7chk,"Sorimuthu Ayyanar kovil Alangulam,",hindu_temple,4.7,83,"VG82+9M2, Alangulam, Tamil Nadu 627851, India",Alangulam,Alangulam
