node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJR_7XweMrBDsR-Deh8t3QKaE,user_place_bipartite,place,ChIJR_7XweMrBDsR-Deh8t3QKaE,NSP falls,tourist_attraction,4.4,75.0
place::ChIJRYY_rQGBBjsRFzW_3wD1zIc,user_place_bipartite,place,ChIJRYY_rQGBBjsRFzW_3wD1zIc,"Ammaiyar Ootru, Seevanallur",tourist_attraction,4.5,73.0
place::ChIJZ-zxuGY9BDsRrMy860z5NG8,user_place_bipartite,place,ChIJZ-zxuGY9BDsRrMy860z5NG8,Ariyanayagipuram check dam,tourist_attraction,4.5,72.0
place::ChIJK0NZsjHWBTsRmQc2zfFZbdw,user_place_bipartite,place,ChIJK0NZsjHWBTsRmQc2zfFZbdw,Thenmala Reservoir Boating Point,tourist_attraction,4.4,68.0
place::ChIJ8XZAdBorBDsRCFo9YHNralM,user_place_bipartite,place,ChIJ8XZAdBorBDsRCFo9YHNralM,LE FALLS,private_guest_room,4.7,65.0
place::ChIJ03S4wKcqBDsR8SJ8qShQuVA,user_place_bipartite,place,ChIJ03S4wKcqBDsR8SJ8qShQuVA,Mottai Dam,tourist_attraction,4.5,65.0
place::ChIJjU74dBhdBDsRI5lqEHTos7M,user_place_bipartite,place,ChIJjU74dBhdBDsRI5lqEHTos7M,Thirukurungudi Lake side,tourist_attraction,4.4,61.0
place::ChIJnzg1ZEyQBjsRGfXYSNapEy8,user_place_bipartite,place,ChIJnzg1ZEyQBjsRGfXYSNapEy8,Agasthiyar Temple,hindu_temple,4.6,60.0
place::ChIJ6595L7OPBjsRpsrMEvpp2oM,user_place_bipartite,place,ChIJ6595L7OPBjsRpsrMEvpp2oM,Munthal Falls,tourist_attraction,4.6,53.0
place::ChIJNTlP4oYvBDsRzFjXuufmSLA,user_place_bipartite,place,ChIJNTlP4oYvBDsRzFjXuufmSLA,Ramanathi River View Point,tourist_attraction,4.3,53.0
place::ChIJCW90tIC5BjsRvx0oTnleNA4,user_place_bipartite,place,ChIJCW90tIC5BjsRvx0oTnleNA4,Thiruvengadam taluk office,shopping_mall,3.3,53.0
place::ChIJxQpqzU5_BjsRqcYtZsnj2bA,user_place_bipartite,place,ChIJxQpqzU5_BjsRqcYtZsnj2bA,Bhagavathipuram water falls,tourist_attraction,4.5,48.0
place::ChIJr72NwE6DBjsRvST4d7NaI3s,user_place_bipartite,place,ChIJr72NwE6DBjsRvST4d7NaI3s,Tenkasi Municipal Park,park,3.9,48.0
place::ChIJ55TLRMQpBDsR2NtNHVFpAbA,user_place_bipartite,place,ChIJ55TLRMQpBDsR2NtNHVFpAbA,Ambi Paara,tourist_attraction,4.0,47.0
place::ChIJX6BjwiEnBDsRJ_cID8CZrMc,user_place_bipartite,place,ChIJX6BjwiEnBDsRJ_cID8CZrMc,Veerakeralampudur,hindu_temple,4.0,47.0
place::ChIJD43vCQCHBjsRweVMYff8XNw,user_place_bipartite,place,ChIJD43vCQCHBjsRweVMYff8XNw,Dam View Point,tourist_attraction,4.3,45.0
place::ChIJy2EmcOYpBDsReZOrnAi6nak,user_place_bipartite,place,ChIJy2EmcOYpBDsReZOrnAi6nak,Tenkasi Lake,lake,3.9,42.0
place::ChIJ_TQF9R4VBDsRrCuTbflWOow,user_place_bipartite,place,ChIJ_TQF9R4VBDsRrCuTbflWOow,Cheranmahadevi thamirabarani river bathing point,tourist_attraction,4.5,41.0
place::ChIJs5yD-vMjBDsRqDUAR4-_uAk,user_place_bipartite,place,ChIJs5yD-vMjBDsRqDUAR4-_uAk,Ramar Temple Arch,hindu_temple,4.3,41.0
