node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
user::dr__ramamoorthy_ramu,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659335,0.0011914524060407624,4.358965329541091e-18,3.8453672664297006e-18,Dr  Ramamoorthy Ramu,user,152.75
user::aby_mathew_rajan,0.005494505494505495,0.0,0.03024932057190122,0.0,0.036982711395392186,0.0011842906447618266,0.00044419008600566723,0.00044419008600566734,Aby Mathew Rajan,user,152.875
user::anantha_krishnan_s_s,0.005494505494505495,0.0,0.03024932057190122,0.0,0.0369827113953922,0.0011842906447618266,0.00044419008600566734,0.00044419008600566636,Anantha Krishnan S S,user,152.875
user::nice_johny,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539216,0.0011842906447618263,0.0004441900860056676,0.0004441900860056679,Nice Johny,user,152.875
user::ansaf_muhammed,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565937,0.0011914524060407624,3.2133398262642658e-18,3.575516931943405e-18,Ansaf Muhammed,user,153.0
user::ponsheela_m,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565937,0.0011914524060407624,3.241281911710042e-18,3.3731291810786846e-18,Ponsheela M,user,153.0
user::abishek_arumugam,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539215,0.0011842906447618263,0.0004441900860056677,0.00044419008600566734,Abishek Arumugam,user,153.125
user::akhil_thomas,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539219,0.0011842906447618266,0.0004441900860056674,0.0004441900860056659,Akhil Thomas,user,153.125
user::sanoop_suresh,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539216,0.0011842906447618266,0.00044419008600566734,0.0004441900860056663,Sanoop Suresh,user,153.375
user::hari_krishnan_r_k,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539215,0.0011842906447618263,0.00044419008600566777,0.0004441900860056672,Hari Krishnan R K,user,153.375
user::muthukalaivani_arumugasamy__seenukalai,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,5.118392239414979e-19,9.125757907228172e-19,Muthukalaivani Arumugasamy  Seenukalai,user,153.625
user::george_arunsowriraj,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659356,0.0011914524060407624,3.679041250360536e-18,3.1032788465923896e-18,George Arunsowriraj,user,154.0
user::nandhu,0.005494505494505495,2.699206865054772e-06,0.0296906259966946,0.0,0.036986561888561365,0.0010802672964627703,0.0005343221361319832,0.0005343221361319829,Nandhu,user,154.875
user::santhavel_natarajan,0.005494505494505495,2.699206865054772e-06,0.0296906259966946,0.0,0.03698656188856136,0.0010802672964627703,0.0005343221361319842,0.0005343221361319764,Santhavel Natarajan,user,155.0
user::muthu_kumaran,0.005494505494505495,2.699206865054772e-06,0.0296906259966946,0.0,0.03698656188856135,0.0010802672964627703,0.0005343221361319815,0.0005343221361319959,Muthu Kumaran,user,155.125
user::amirthaprakash_c,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565937,0.0011914524060407624,3.380992338938923e-18,2.361190426755079e-18,Amirthaprakash C,user,155.375
user::karthick,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,2.41337029014577e-19,-2.4298388761043757e-18,Karthick,user,156.5
user::anto_navis__techguy,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565936,0.0011914524060407624,3.4275624813485502e-18,2.0238775086472108e-18,Anto Navis  Techguy,user,157.0
user::adwaith_krishna,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,-4.656468497106341e-19,4.379797421056853e-19,Adwaith Krishna,user,157.375
user::siva_chidambaram,0.005494505494505495,0.0,0.0296906259966946,0.0,0.03698275010504975,0.0011475799997147898,0.00034786376901058423,0.0003478637690105805,Siva Chidambaram,user,159.125
user::r_venkatesan,0.005494505494505495,0.0,0.0296906259966946,0.0,0.03698275010504975,0.0011475799997147898,0.0003478637690105839,0.00034786376901058255,R Venkatesan,user,159.125
user::shankar_mahadevan,0.005494505494505495,0.0,0.0296906259966946,0.0,0.03698275010504973,0.0011475799997147898,0.00034786376901058374,0.00034786376901058374,Shankar Mahadevan,user,159.375
user::satheesh_kumar,0.005494505494505495,0.0,0.0296906259966946,0.0,0.03698275010504973,0.0011475799997147898,0.00034786376901058363,0.0003478637690105848,Satheesh Kumar,user,159.375
user::ĸarυppaѕaмy_g,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,2.936017052262762e-19,6.167766173602508e-19,ĸarυppaѕaмy G,user,162.75
user::villu_vicky,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,8.41473793860463e-20,1.6659546726781569e-18,Villu Vicky,user,164.25
user::unnikuttan_a,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963876,0.0013717421124828531,2.5297188343209135e-19,9.110631074261704e-19,Unnikuttan A,user,165.75
user::bala,0.005494505494505495,0.0,0.012362637362637364,0.0,0.03698269223049867,0.0011886525957417347,1.4390174004574757e-18,3.3731291810786846e-18,Bala,user,166.0
user::antony_stephen,0.005494505494505495,0.0,0.015215553677092139,0.0,0.036986465689573395,0.0011283676731886493,1.2923214518671505e-18,2.479249948092833e-18,Antony Stephen,user,166.125
user::ramakumar_ulaganathan,0.005494505494505495,0.0,0.015215553677092139,0.0,0.036986465689573395,0.0011283676731886493,1.30862100171052e-18,2.361190426755079e-18,Ramakumar Ulaganathan,user,166.625
user::nirmalkumar_r,0.005494505494505495,0.0,0.012362637362637364,0.0,0.03698269223049872,0.0011886525957417347,1.5763993205658753e-18,2.3780560726604727e-18,Nirmalkumar R,user,167.0
user::vinoth_raja_k,0.005494505494505495,0.0,0.015215553677092139,0.0,0.03698646568957339,0.0011283676731886493,1.3179350301924453e-18,2.2937278431335054e-18,Vinoth Raja K,user,167.25
user::wow_farm_house,0.005494505494505495,0.0,0.012362637362637364,0.0,0.03698269223049867,0.0011886525957417347,1.5205151496743229e-18,2.7828315743899146e-18,Wow Farm House,user,167.25
user::syed_sha_hussain,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963876,0.0013717421124828531,2.929120396370247e-19,7.42798816587478e-19,Syed Sha Hussain,user,167.5
user::vellai_samy,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,3.0761298700983014e-19,3.6363634100196915e-19,Vellai Samy,user,167.75
user::vinayak_r_nair,0.005494505494505495,0.0,0.007326007326007326,0.0,0.036978917625650115,0.0012515489748547925,1.6725593880570037e-18,2.7946902316671445e-18,Vinayak R Nair,user,167.75
user::siva_bala,0.005494505494505495,0.0,0.007326007326007326,0.0,0.03697891762565011,0.0012515489748547925,1.6172573439455717e-18,3.1952493219202384e-18,Siva Bala,user,167.875
user::raja_raja,0.005494505494505495,0.0,0.007326007326007326,0.0,0.03697891762565011,0.0012515489748547925,1.1451616209989169e-18,3.984640608007832e-18,Raja Raja,user,168.125
user::joice_thinakaran,0.005494505494505495,0.0,0.012362637362637364,0.0,0.0369826922304987,0.0011886525957417347,1.6392690128188718e-18,1.9226836332148503e-18,Joice Thinakaran,user,168.5
user::sivarajalngam_nivi_s,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,1.3312545112438525e-19,7.290762987218503e-19,Sivarajalngam Nivi S,user,168.625
user::siva_das,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963876,0.0013717421124828531,2.9586788127455605e-19,6.003624426070852e-19,Siva Das,user,169.375
user::vignesh_hari,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963876,0.0013717421124828531,2.1847108536077925e-19,6.930325623082703e-19,Vignesh Hari,user,170.5
user::hari_pranav,0.01098901098901099,0.0001209244675544538,0.012362637362637364,0.0,0.037718571453072475,0.0022393434260152335,5.350108938543485e-20,-2.9994497139873114e-18,Hari Pranav,user,171.0
user::prakash_photography_tvmalai,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,1.1627086183634433e-19,5.913145788743656e-19,Prakash Photography Tvmalai,user,171.625
user::ullas_s,0.005494505494505495,0.0,0.007326007326007326,0.0,0.0369789176256501,0.0012515489748547925,1.3025268619811351e-18,2.8448259993780992e-18,Ullas S,user,171.75
user::divya_krishnan,0.005494505494505495,0.0,0.007326007326007326,0.0,0.0369789176256501,0.0012515489748547927,5.93823890108381e-19,2.439852853360703e-18,Divya Krishnan,user,173.5
user::ambrose_jesuraj,0.005494505494505495,0.0,0.007326007326007326,0.0,0.0369789176256501,0.0012515489748547925,8.348425685400797e-19,2.353021129519654e-18,Ambrose Jesuraj,user,174.5
user::david_viniston,0.005494505494505495,0.0,0.007326007326007326,0.0,0.0369789176256501,0.0012515489748547927,6.509450804076892e-19,2.026117477244021e-18,David Viniston,user,174.5
user::anto_anto,0.005494505494505495,0.0,0.005494505494505495,0.0,0.036975163039638756,0.0013717421124828531,3.104298733700992e-19,2.371406970105359e-18,Anto Anto,user,174.625
user::yuva_ranjitha,0.005494505494505495,0.0,0.015215553677092139,0.0,0.03698646493471018,0.001120710083996905,4.1913128168664336e-19,2.1503698529376613e-18,Yuva Ranjitha,user,175.0
user::wahshi,0.005494505494505495,0.0,0.005494505494505495,0.0,0.03697516303963877,0.0013717421124828531,1.207509001561779e-19,3.8937726976453925e-19,Wahshi,user,175.25
user::j_johnson,0.005494505494505495,0.0,0.007326007326007326,0.0,0.0369789176256501,0.0012515489748547925,7.798133963568291e-19,2.2532766455322885e-18,J Johnson,user,175.25
user::yeshwanth_yeshu,0.005494505494505495,0.0,0.007326007326007326,0.0,0.036978917625650094,0.0012515489748547925,1.6546589895683032e-18,2.9243448845648566e-18,Yeshwanth Yeshu,user,175.25
