node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
place::ChIJXS_d0_rsBjsR625dSb4lWg4,0.08805031446540881,0.009818751161000982,0.4324609454250355,0.0,-0.051696522544216694,0.004697243145603712,0.0004417430104817304,0.0004417430104817309,"Arulmigu Koodara Paarai Sri.Bala Subramania Swamy Malai Kovil, Sivagiri",place,82.5
place::ChIJu6_7thuBBjsRVg9YNd4l0is,0.07547169811320756,0.006634291325000661,0.3874650089068237,0.0,-0.04052281613281432,0.004171059134555145,0.0006481466774093428,0.0006481466774093426,Panpoli Park,place,82.625
place::ChIJKdfVQHx4BjsRaFlls0YJF5k,0.05660377358490566,0.0009553379508000955,0.39314631402275957,0.0,-0.02853003147603075,0.0025688100492191855,0.001347084431982901,0.0013470844319828997,Deer Park | Thenmala,place,83.5
place::ChIJq0u5QegpBDsRAjW5G91ajmk,0.08805031446540881,0.0030252368442003023,0.41764141146966044,0.0,-0.05174057583197347,0.00542601179600207,0.0006623621605235093,0.0006623621605235093,"Arulmigu Kaasi Viswanathar Temple, Tenkasi(Pancha Kashi)",place,83.75
place::ChIJ72IPMsYpBDsRfKh1L8TI4cc,0.04402515723270441,0.01743491760210174,0.39781273911501785,0.0,-0.043643824160871314,0.004320484031091712,0.00022909653787075453,0.0002290965378707546,Vaikalpaalam bridge,place,84.625
place::ChIJTx41qRWHBjsRhJ24CoYHETI,0.07547169811320756,0.0,0.3954657613031298,0.0,-0.03468267509876596,0.0033776411695986266,0.001195804065994635,0.001195804065994635,Mekkarai,place,85.375
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,0.03773584905660378,0.0025077621208502506,0.3693192646880469,0.0,-0.029310497252354233,0.0026818841005244697,0.0011037251564589058,0.0011037251564589047,Manimutharu Dam Outlet,place,85.5
place::ChIJWdA66vGHBjsRhYoqWoO-3X0,0.06289308176100629,0.0078019265982007795,0.39314631402275957,0.0,-0.04207638048148395,0.0031471875732376857,0.0005958090260489816,0.000595809026048981,Mekkarai paddy field,place,86.25
place::ChIJcfvrXkC5BjsRu3pY0p9dUgA,0.1320754716981132,0.01552424170050155,0.33939972932091395,0.0,-0.060756782373207995,0.006968590905469996,7.008683865379194e-05,7.008683865379227e-05,Thiruvengadanathar Temple,place,86.375
place::ChIJs9Dr4fU5BDsRqbyRIkbSoBk,0.05660377358490566,0.0004776689754000477,0.37764195234298875,0.0,-0.038302033088718254,0.003552419492387317,0.0007015782125598106,0.0007015782125598102,Amma Park,place,86.375
place::ChIJ2TouncYpBDsRX7hAWeaci8A,0.04402515723270441,0.0013533954303001352,0.40997826630507955,0.0,-0.038497952539907676,0.003033444627554561,0.0006410375198326854,0.0006410375198326849,"St. Michael's Shrine, Tenkasi",place,86.75
place::ChIJX6BjwiEnBDsRJ_cID8CZrMc,0.1320754716981132,0.015603853196401559,0.3376899070069547,0.0,-0.06161154834279866,0.006321799384886401,5.770246335815463e-05,5.770246335815498e-05,Veerakeralampudur,place,88.625
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,0.025157232704402517,0.012976673831701296,0.3693192646880469,0.0,-0.04070333574910787,0.0035040843389114694,0.00018874790352628427,0.00018874790352628438,Tenkasi New Bus Stand,place,88.875
