:START_ID(Place),:END_ID(Place),weight,:TYPE
ChIJEU6I6hKDBjsRvMeXfF6jNy8,ChIJ72IPMsYpBDsRfKh1L8TI4cc,4.25,CO_VISITED
ChIJEU6I6hKDBjsRvMeXfF6jNy8,ChIJ59WpP4UpBDsR5oYgTYmyhno,3.75,CO_VISITED
ChIJA9XmEZaXBjsREmckXJgSs8g,ChIJh_EnhcOABjsRHN91tNw1LuI,5.6,CO_VISITED
ChIJA9XmEZaXBjsREmckXJgSs8g,ChIJjfO2v0cjBDsRsKc-LKoWRkQ,2.933,CO_VISITED
ChIJA9XmEZaXBjsREmckXJgSs8g,ChIJcfvrXkC5BjsRu3pY0p9dUgA,3.85,CO_VISITED
ChIJA9XmEZaXBjsREmckXJgSs8g,ChIJpYSiHEG5BjsR1ZNJlloOrvI,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJs0Wor3DVBTsR3EUyE5eY0po,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJVwjgd1i0BzsRblc5epBLSdk,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJ5U3FUsN6BzsRXLUT1A2krkE,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJYX7Kl4vtBDsR039NLAJ_YqA,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJw7X27VwpBDsREcsa7LVsoOo,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJ8YVwxCXWBTsRvT3uZ68XOd4,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJs-vSFNY3BDsR89RjoQRctKQ,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJpYX5oKS0BzsRCF-SFs2O4X4,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJr_DnasZDBDsRdHpzZHl96h0,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJ1S7Asz1_BjsRHMPTvhPcsew,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJEcufPSnWBTsRxy-_bLmZmH8,3.35,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJp799eI9HBDsR3P-8VWdE1GY,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJ4_X9FJh9BjsR_17bRtA6rsQ,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,3.35,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJyynNh8AqBDsRiwzRqzGp6EU,6.25,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJx3oBXj-HBjsRE_nhoTDm7QE,3.85,CO_VISITED
ChIJSbdL6FwpBDsRe3ls0A6mwDI,ChIJmx_yi8kHBzsR2s_M3Lsl5qY,3.85,CO_VISITED
