:START_ID(User),:END_ID(User),weight,:TYPE
nazeer_hussain__ஒண_ட_ப_ல,surya_k,1.0,SIMILAR_USER
praise_by_andria_gracious,surya_k,1.0,SIMILAR_USER
046_venkatesh_m_k,athul_jeev,1.0,SIMILAR_USER
046_venkatesh_m_k,rakesh_s,1.0,SIMILAR_USER
046_venkatesh_m_k,suresh_jesu,1.0,SIMILAR_USER
046_venkatesh_m_k,vinoth_kumar,1.0,SIMILAR_USER
athul_jeev,rakesh_s,1.0,SIMILAR_USER
athul_jeev,suresh_jesu,1.0,SIMILAR_USER
athul_jeev,vinoth_kumar,1.0,SIMILAR_USER
rakesh_s,suresh_jesu,1.0,SIMILAR_USER
rakesh_s,vinoth_kumar,1.0,SIMILAR_USER
suresh_jesu,vinoth_kumar,1.0,SIMILAR_USER
vinoth_kumar,kumaresan_lakshmanan,1.0,SIMILAR_USER
vinoth_kumar,shyam_sundar,1.0,SIMILAR_USER
vinoth_kumar,yuva_ranjitha,1.0,SIMILAR_USER
abdul_rahman,arunprasath_m,1.0,SIMILAR_USER
abdul_rahman,dr__ramamoorthy_ramu,1.0,SIMILAR_USER
abdul_rahman,kathiravan_piramuthu,1.0,SIMILAR_USER
abdul_rahman,sakthi_prabhu,1.0,SIMILAR_USER
abdul_rahman,george_arunsowriraj,1.0,SIMILAR_USER
abdul_rahman,mohammed_saabiq,1.0,SIMILAR_USER
abdul_rahman,sathya_sachinism,1.0,SIMILAR_USER
abdul_rahman,velayutham_raja,1.0,SIMILAR_USER
abdul_rahman,amirthaprakash_c,1.0,SIMILAR_USER
abdul_rahman,ansaf_muhammed,1.0,SIMILAR_USER
abdul_rahman,anto_navis__techguy,1.0,SIMILAR_USER
abdul_rahman,ponsheela_m,1.0,SIMILAR_USER
abdul_rahman,m_siva_subramanian,1.0,SIMILAR_USER
abdul_rahman,mathan__m,1.0,SIMILAR_USER
abdul_rahman,mukesh_kumar,1.0,SIMILAR_USER
abdul_rahman,sathish_kumar,1.0,SIMILAR_USER
arunprasath_m,dr__ramamoorthy_ramu,1.0,SIMILAR_USER
